Move,Block,Damage,Stun,Meter Gain,Cancel Ability,Startup,Active,Recover,Frame Adv. Block,Frame Adv. Hit,Notes
Close Light Punch,HL,30,50,20,C*Sp*Su,4,2,6,3,6,
Close Medium Punch,HL,70,100,40,Sp*Su,3,2,13,-1,4,
Close Hard Punch,HL,100,200,60,Sp*Su,4,2,26,-10,-6,
Close Light Kick,HL,40,50,20,-,5,2,7,2,5,
Close Medium Kick,HL,70,100,40,Su,5,2,14,-2,1,
Close Hard Kick,HL,40*70,125*75,60*20,Su,6,2(4)4,17,-3,2,
Far Light Punch,HL,40,50,20,C*Sp*Su,3,2,5,4,7,
Far Medium Punch,HL,80,100,40,Su,4,2,13,-1,2,
Far Hard Punch,HL,120,200,60,-,6,3,16,-1,3,
Far Light Kick,HL,40,50,20,-,3,2,8,1,4,
Far Medium Kick,HL,80,100,40,-,9,2,13,-1,2,
Far Hard Kick,HL,60*40,125*75,60*20,-,8,2(8)2,16,0,5,Forces stand
Crouch Light Punch,HL,30,50,20,C*Sp*Su,3,2,7,2,5,
Crouch Medium Punch,HL,60,100,40,Sp*Su,4,3,9,2,5,
Crouch Hard Punch,HL,100,200,60,Sp*Su,6,4,23,-9,-4,Forces stand
Crouch Light Kick,L,20,50,20,C*Sp*Su,4,2,9,0,3,Low attack
Crouch Medium Kick,L,60,100,40,Sp*Su,5,3,13,-2,1,Low attack
Crouch Hard Kick,L,90,100,60,-,6,3,24,-9,D,"Low attack, cannot fast recover"
Jump Up Light Punch,H,50,50,20,-,4,7,-,-,-,
Jump Up Medium Punch,H,80,100,40,-,5,3,-,-,-,
Jump Up Hard Punch,H,100,200,60,-,6,3,-,-,-,
Jump Up Light Kick,H,40,50,20,-,5,6,-,-,-,
Jump Up Medium Kick,H,80,100,40,-,6,4,-,-,-,
Jump Up Hard Kick,H,100,200,60,-,5,3,-,-,-,
Jump Toward Light Punch,H,50,50,20,-,4,7,-,-,-,
Jump Toward Medium Punch,H,80,100,40,-,5,3,-,-,-,
Jump Toward Hard Punch,H,100,200,60,-,6,3,-,-,-,
Jump Toward Light Kick,H,40,50,20,-,4,6,-,-,-,
Jump Toward Medium Kick,H,70,100,40,-,6,3,-,-,-,
Jump Toward Hard Kick,H,100,200,60,-,7,3,-,-,-,
F + MP,H,30*50,50*50,40*20,-,17,2*2,17,-5,0,"Forces stand, overhead"
D+Medium Kick (Air),H,60,100,40,-,12,Until ground,-,-,-,Mid attack
Focus Attack Level 1,HL,60,100,20,-,21,2,35,-21,-21,
Focus Attack Level 2,HL,80,150,40,-,17+12,2,35,-15,D,
Focus Attack Level 3,-,140,200,60,-,65,2,40,D,D,
Forward Throw,0.9,130,120,40,-,3,2,20,-,D,Throw range 0.91
Back Throw,0.9,130,120,40,-,3,2,20,-,D,Throw range 0.91
Fireball,HL,60,100,10/20,Su,14,-,44,-4,0,17~18f super cancelable
Fireball EX,HL,60*60,100*100,-250/0,Su,14,-,44,-1,D,
Red Fireball Light Punch,HL,50,200,10/30,Su,25,-,50,-4,D,
Red Fireball Medium Punch,HL,35*35,50*100,20/16*16,Su,25,-,57,-3,D,Pursuit Property
Red Fireball Hard Punch,HL,33x3,35x3,20/16x3,Su,25,-,63,-1,D,Pursuit Property
Red Fireball EX,HL,47x3,70x2*100,-250/0,Su,25,-,50,12,D,Pursuit Property
Air Fireball,HL,40,50,5/20,-,14,-,16,-,-,
Air Fireball EX,HL,40*40,50,-250/0,-,8,-,9,-,-,
Goshoryuken Light Punch,HL,100[70],100,30/40,Su,3,14,17+18,-28,D,"1~2f invincible, 3~16f low invuln, 3~4f unthrowable, 6~f airborne"
Goshoryuken Medium Punch,HL,70*60,80*50,30/30*16,Su,3,2*12,25+18,-34,D,"1~5f invincible, 6~16f low invuln, 6~f airborne"
Goshoryuken Hard Punch,HL,70*50*30,70*50*30,30/30*10*10,Su*Su,3,2*2*12,28+18,-37,D,"1~6f invincible, 7~18f low invuln, 8~f airborne"
