Move,Block,Damage,Stun,Meter Gain,Cancel Ability,Startup,Active,Recover,Frame Adv. Block,Frame Adv. Hit,Notes
Close Light Punch,HL,30,50,20,Sp*Su,4,2,10,-1,2,
Close Medium Punch,HL,80,100,40,Su,6,2,10,2,5,
Close Hard Punch,HL,110[90],200[150],60,Su,7,4,22,-7,-1,Forces stand
Close Light Kick,HL,40,50,20,Sp*Su,4,3,10,-2,1,
Close Medium Kick,HL,40*40,50*50,40*20,Su-,5,2(3)2,12,0,3,1st hit cancellable
Close Hard Kick,HL,100[80],200[150],60,Su,7,6,19,-6,-1,
Far Light Punch,HL,30,50,20,Sp*Su,3,2,9,0,3,
Far Medium Punch,HL,80,100,40,Su,7,4,9,1,4,
Far Hard Punch,HL,120,200,60,-,7,6,20,-6,-1,
Far Light Kick,HL,30,50,20,Su,5,2,12,-3,0,
Far Medium Kick,HL,90,100,40,Su,5,2,19,-7,-4,
Far Hard Kick,HL,100[80],200[150],60,-,3,6,23,-10,-5,
Crouch Light Punch,HL,30,50,20,Sp*Su,4,2,9,0,3,
Crouch Medium Punch,HL,90,100,40,Su,7,4,15,-5,-2,
Crouch Hard Punch,HL,100,200,60,Su,8,4,25,-10,-4,
Crouch Light Kick,L,30,50,20,Sp*Su,4,3,7,1,4,Low attack
Crouch Medium Kick,L,70,100,40,Sp*Su,5,2,11,1,4,Low attack
Crouch Hard Kick,L,90,150,60,Su,6,5,21,-7,D,"Low attack, cannot fast recover"
Jump Up Light Punch,H,40,50,20,-,5,7,-,-,-,
Jump Up Medium Punch,H,70,100,40,-,6,3,-,-,-,
Jump Up Hard Punch,H,120,200,60,-,4,3,-,-,-,
Jump Up Light Kick,H,40,50,20,-,4,3,-,-,-,
Jump Up Medium Kick,H,60,100,40,-,5,5,-,-,-,
Jump Up Hard Kick,H,120,200,60,-,7,7,-,-,-,
Jump Toward Light Punch,H,40,50,20,-,5,7,-,-,-,
Jump Toward Medium Punch,H,70,100,40,-,6,5,-,-,-,
Jump Toward Hard Punch,H,90,200,60,-,5,4,-,-,-,
Jump Toward Light Kick,H,40,50,20,-,5,5,-,-,-,
