Move,Block,Damage,Stun,Meter Gain,Cancel Ability,Startup,Active,Recover,Frame Adv. Block,Frame Adv. Hit,Notes
Stand Light Punch,HL,30,50,20,Sp*Su,4,1,12,-2,1,
Stand Medium Punch,HL,60,80,40,-,10,3,14,-3,0,
Stand Hard Punch,HL,75,140,60,-,10,6,16,-4,0,
Stand Light Kick,HL,30,50,20,-,7,4,8,-1,2,
Stand Medium Kick,HL,60,100,40,-,9,3,14,-3,0,
Stand Hard Kick,HL,90,160,60,-,13,4,16,-2,2,
Back + Light Punch,H,50,50,20,-,14,2(1)2,11,-2,1,Mid attack
Back + Medium Punch,HL,70,100,40,Sp*Su,6,6,11,-3,0,
Back + Hard Punch,HL,60*50,100*100,60*20,Sp*Su-,7,3*3,17,-2,2,1st hit cancellable
Back + Light Kick,HL,30,50,20,Sp*Su,3,4,8,-1,2,
Back + Medium Kick,HL,65,100,40,Sp*Su,5,4,12,-2,1,
Back + Hard Kick,HL,90,200,60,-,6,5,15,-2,2,
Down or Down Forward + Light Punch,L,25,25,20,-,9,4,11,-4,-1,Low attack
Down or Down Forward + Medium Punch,L,60,60,40,-,12,3,16,-5,-2,Low attack
Down or Down Forward + Hard Punch,L,80,100,60,-,14,3,21,-6,-2,Low attack
Down or Down Forward + Light Kick,L,30,50,20,Sp*Su,3,8,12,-9,-6,Low attack
Down or Down Forward + Medium Kick,L,60,100,40,-,6,11,11,-8,-5,Low attack
Down or Down Forward + Hard Kick,L,100,200,60,-,10,12,24,-18,D,"Low attack, cannot fast recover"
Down Back + Light Punch,HL,30,50,20,Sp*Su,4,3,8,0,3,
Down Back + Medium Punch,HL,60,100,40,Sp*Su,5,5,6,3,6,
Down Back + Hard Punch,HL,85,150,60,-,7,5,10,3,7,
Down Back + Light Kick,L,30,50,20,Sp*Su,5,6,7,-2,1,Low attack
Down Back + Medium Kick,L,60,100,40,Sp*Su,6,5,11,-2,1,Low attack
Down Back + Hard Kick,L,100,200,60,-,12,3,20,-5,D,"Low attack, cannot fast recover"
Jump Light Punch,H,40,25,20,-,7,9,-,-,-,
Jump Medium Punch,H,70,140,40,-,8,4,-,-,-,
Jump Hard Punch,H,80,140,60,-,9,4,-,-,-,
Jump Light Kick,H,40,25,20,-,10,5,-,-,-,
Jump Medium Kick,H,70,120,40,-,12,3,-,-,-,
Jump Hard Kick,H,90,160,60,-,10,6,-,-,-,
Jump Back + Light Punch,H,20,25,20,-,6,7,-,-,-,
Jump Back + Medium Punch,H,80,50,40,-,6,8,-,-,-,
Jump Back + Hard Punch,H,100,100,60,-,6,6,-,-,-,
Jump Back + Light Kick,H,40,25,20,-,6,9,-,-,-,
Jump Back + Medium Kick,H,80,50,40,-,8,7,-,-,-,
Jump Back + Hard Kick,H,100,150,60,-,7,6,-,-,-,
Down + Kick (Air),HL,70,50,40,-,12,Until Grounded,6,-,-,1~8f
Down + Punch (Air),HL,90,100,60,-,13,Until Grounded,6,-,-,"1~12f , Pursuit Property"
Yoga Tower,-,-,-,-,,-,-,120,-,-,
Focus Attack Level 1,HL,50,100,20,-,20,3,34,-21,-21,
Focus Attack Level 2,HL,70,150,40,-,17+11,3,34,-15,D,
Focus Attack Level 3,-,100,200,60,-,58,2,28,D,D,
Forward Throw,1.01,120,80,40,-,3,2,20,-,D,Throw range 0.9
Back Throw,1.01,120,80,40,-,3,2,20,-,D,Throw range 0.9
Yoga Fire Light Punch,HL,50,50,20/20,Su,14,95,48,-8,-4,
Yoga Fire Medium Punch,HL,70,100,20/20,Su,14,57,48,-8,D,
Yoga Fire Hard Punch,HL,80,100,20/20,Su,14,43,48,-8,D,
Yoga Fire EX,HL,50*50,50*50,-250/0,Su,14,-,42,1,4,Pursuit Property
Yoga Flame Light Punch,HL,110,100,30/30,Su,15,23,22,-6,D,Armor Break
Yoga Flame Medium Punch,HL,140,100,30/30,Su,17,27,16,-1,D,Armor Break
Yoga Flame Hard Punch,HL,170,100,30/30,Su,34,32,13,2,D,Armor Break
Yoga Flame EX,HL,50*70,100*100,-250/0,Su,14,32,16,-1,D,"Pursuit Property, Armor Break"
Yoga Blast Light Kick,-,130,100,30/40,Su,11,20,45,-,D,
Yoga Blast Medium Kick,-,150,100,30/40,Su,15,20,36,-,D,
Yoga Blast Hard Kick,-,180,100,30/40,Su,30,20,22,-,D,
Yoga Blast EX,-,70*70,100*100,-250/0,Su,5,17,30,-,D,"1~4f invincible, Pursuit Property"
Teleport Punch,-,-,-,-,-,-,-,48,-,-,
Teleport Kick,-,-,-,-,-,-,-,30,-,-,1~24f invincible
Super Light Punch,HL,60x5,0,-1000/0,-,1+3,14,21,-5,D,"1~4f invincible, Pursuit Property"
Super Medium Punch,HL,60x5,0,-1000/0,-,1+3,23,21,-9,D,"1~5f invincible, Pursuit Property"
Super Hard Punch,HL,60x5,0,-1000/0,-,1+3,47,21,-17,D,"1~7f invincible, Pursuit Property"
Ultra 1,HL,60x5,0,0/0,-,0+12,142,25,44,D,"1f invincible, Pursuit Property"
Ultra 2,Air Throw,450,0,0/0,-,0+5,7,9,-,-,
