Move,Block,Damage,Stun,Meter Gain,Cancel Ability,Startup,Active,Recover,Frame Adv. Block,Frame Adv. Hit,Notes
Close Light Punch,HL,30,50,20,Sp*Su,4,2,7,2,5,
Close Medium Punch,HL,70,100,40,Sp*Su,7,2,11,1,4,
Close Hard Punch,HL,90,150,60,Sp*Su,8,2,17,-1,3,
Close Light Kick,HL,30,50,20,Sp*Su,5,1,7,3,6,
Close Medium Kick,HL,70,100,40,-,14,2,5+8,-1,2,8~15f low body invincibility
Close Hard Kick,HL,80,150,60,Sp*Su,12,2,16,0,D,
Far Light Punch,HL,30,50,20,Sp*Su,4,3,6,2,5,
Far Medium Punch,HL,80,100,40,Sp*Su,7,3,10,2,5,
Far Hard Punch,HL,120,200,60,-,17,2,11,5,9,
Far Light Kick,HL,30,50,20,Sp*Su,5,1,8,2,5,
Far Medium Kick,HL,70,100,40,Sp*Su,11,3,15,-4,-1,
Far Hard Kick,HL*H,110*100,200,60,-,19,2(6)3,After Grounded 12,-5,-1,2nd hit mid attack
Crouch Light Punch,HL,30,50,20,C*Sp*Su,4,3,7,1,4,
Crouch Medium Punch,HL,70,100,40,Sp*Su,9,2,12,0,3,
Crouch Hard Punch,HL,100,200,60,-,8,4,15,-1,4,Forces stand
Crouch Light Kick,L,20,50,20,Sp*Su,5,2,6,3,6,Low attack
Crouch Medium Kick,L,70,100,40,Sp*Su,6,2,13,-1,2,Low attack
Crouch Hard Kick,L,80,150,60,-,17,10,9,-1,D,"Low attack, cannot fast recover"
Jump Up Light Punch,H,50,50,20,-,5,8,-,-,-,
Jump Up Medium Punch,H,80,100,40,-,8,4,-,-,-,
Jump Up Hard Punch,H,100,200,60,-,9,6,-,-,-,
Jump Up Light Kick,H,40,50,20,-,5,9,-,-,-,
Jump Up Medium Kick,H,80,100,40,-,6,9,-,-,-,
Jump Up Hard Kick,H,100,200,60,-,7,10,-,-,-,
Jump Toward Light Punch,H,50,50,20,-,5,8,-,-,-,
Jump Toward Medium Punch,H,80,100,40,-,8,4,-,-,-,
Jump Toward Hard Punch,H,100,200,60,-,9,6,-,-,-,
Jump Toward Light Kick,H,40,50,20,-,5,9,-,-,-,
Jump Toward Medium Kick,H,80,100,40,-,6,9,-,-,-,
Jump Toward Hard Kick,H,100,200,60,-,7,10,-,-,-,
Wall Jump,-,-,-,-,-,-,-,-,-,-,
Tostada Press (Wall Jump),H,100,100,20/30,-,2+12,Until Grounded,After Grounded 35,-17,,
Fajita Buster (Wall Jump),1.91,150,150,20/60,-,2+12,Until Grounded,After Grounded 36,-,-,
Forward + Medium Kick,H,50,100,40,-,16,2,11,1,5,Mid attack
Target Combo 1,HL,70,100,40,-,14,2,5+10,-3,0,
Focus Attack Level 1,HL,60,100,20,-,21,3,34,-21,-21,
Focus Attack Level 2,HL,80,150,40,-,17+12,3,34,-15,D,
Focus Attack Level 3,-,140,200,60,-,65,3,34,-,D,
Forward Throw,0.9,120,120,40,-,3,2,20,-,D,Throw range 0.9
Back Throw,0.9,120,120,40,-,3,2,20,-,D,Throw range 0.9
Air Throw,1.15,140,150,40,-,3,2,-,-,D,Throw range 1.15
Habanero Dash Forward,-,-,-,-,-,-,-,71,-,-,
Habanero Dash Forward EX,-,-,-,-250/0,-,-,-,49,-,-,
Habenero Dash Back,-,-,-,-,-,-,-,,-,-,
Habanero Dash Back EX,-,-,-,-250/0,-,-,-,,-,-,
Sudden Stop,-,-,-,0/0,-,-,-,3,-,-,
Tostada Press Forward Dash,H,100,100,20/30,-,6+20,7,After Grounded 34,-16,D,"1~10f , Pursuit Property, Mid attack, Cannot fast recover, ,"
Tostada Press Back Dash,H,100,100,20/30,-,6+20,7,After Grounded 30,-12,D,"1~9f , Pursuit Property, Mid attack, Cannot fast recover, ,"
Fajita Buster Forward Dash,1.8,150,150,20/60,-,6+23,6,2+34,-,D,"1~11f , , Throw range 2.95"
Back Step,-,-,-,-,-,-,-,17,-,-,
Habenero Dash - Medium Kick,HL,80,100,20/30,Su,6+14,2,18,1,5,
