Move,Block,Damage,Stun,Meter Gain,Cancel Ability,Startup,Active,Recover,Frame Adv. Block,Frame Adv. Hit,Notes
Close Light Punch,HL,30,50,20,C*Sp*Su,3,3,6,(+)2,(+)5,
Close Medium Punch,HL,70,100,40,Sp*Su,3,3,21,-3,(+)3,
Close Hard Punch,HL,100,200,60,Sp*Su,5,4,22,-7,-3,
Close Light Kick,HL,30,50,20,Sp*Su,5,5,7,-1,(+)3,
Close Medium Kick,HL,80,100,40,Sp*Su,3,5,16,-7,-2,
Close Hard Kick,HL,40~70,125~75,60~20,Su,8,8 (2) 4,17,-3,(+)2,
Far Light Punch,HL,30,50,20,C*Sp*Su,4,3,6,(+)2,(+)5,
Far Medium Punch,HL,80,100,40,Sp*Su,5,4,14,-2,(+)2,
Far Hard Punch,HL,120,200,60,-,7,3,18,0,(+)3,
Far Light Kick,HL,40,50,20,-,5,6,6,-1,(+)2,
Far Medium Kick,HL,70,100,40,-,7,4,16,-4,(+)1,
Far Hard Kick,HL,110,200,60,Su,8,4,22,-8,-4,
Crouch Light Punch,HL,30,50,20,C*Sp*Su,3,2,7,(+)2,(+)5,
Crouch Medium Punch,HL,60,100,40,Sp*Su,4,4,8,(+)2,(+)5,
Crouch Hard Punch,HL,90,200,60,Sp*Su,6,6,23,-10,-5,
Crouch Light Kick,L,20,50,20,C*Sp*Su,4,3,9,-1,(+)2,
Crouch Medium Kick,L,60,100,40,Sp*Su,7,3,14,-4,0,
Crouch Hard Kick,L,90,100,60,Su,7,2,27,-11,D,
Jump Up Light Punch,H,50,50,20,-,4,9,-,-,-,
Jump Up Medium Punch,H,80,100,40,-,4,5,-,-,-,
Jump Up Hard Punch,H,100,200,60,-,4,4,-,-,-,
Jump Up Light Kick,H,40,50,20,-,5,9,-,-,-,
Jump Up Medium Kick,H,80,100,40,-,6,10,-,-,-,
Jump Up Hard Kick,H,100,200,60,-,4,4,-,-,-,
Jump Toward Light Punch,H,50,50,20,-,4,9,-,-,-,
Jump Toward Medium Punch,H,50~30,50~50,40~20,-,7,3~4,-,-,-,
Jump Toward Hard Punch,H,100,200,60,-,6,4,-,-,-,
Jump Toward Light Kick,H,40,50,20,-,4,8,-,-,-,
Jump Toward Medium Kick,H,70,100,40,-,6,6,-,-,-,
Jump Toward Hard Kick,H,100,200,60,-,7,4,-,-,-,
Target Combo,HL,30~50,50~50,40~20,-,17,2 (1) 2,18,-6,(+)4,
Forward + Medium Kick,HL,70,100,40,-,16,2,17,-2,0,
Dive Kick,H,70,100,40,-,13,-,4,-,-,
Forward + Medium Punch,H,90,100,60,Su,8,3,20,-5,0,
Focus Attack Lv 1,HL,60,100,20,-,21,2,35,-21,-21,
Focus Attack Lv 2,HL,80,150,40,-,17+12,2,35,-15,-,
Focus Attack Lv 3,-,140,200,60,-,65,2,35,-,-,
Forward Throw,-,130,140,40,-,3,2,20,-,-,
Back Throw,-,130,120,40,-,3,2,20,-,-,
Fireball,HL,60,100,10|20,Su,13,-,45,-6,-2,
Fireball Ex,HL,50~50,50~50,(-) 250|0,Su,12,-,42,0,3,
Red Fireball Light Punch,HL,50,200,10|30,Su,25,-,53,-7,-,
Red Fireball Medium Punch,HL,35~35,50~100,10|16~16,Su,25,-,61,-7,-,
Red Fireball Hard Punch,HL,33x3,35x3,10 | 16 ~ 16 ~ 16,Su,25,-,69,-7,-,
Red Fireball Ex,HL,47x3,70~70~100,(-)250|0,Su,25,-,53,(+)9,-,
Dragon Punch Light Punch,HL,100[70],100,30|40,Su,3,14,14+10,-17,-,
Dragon Punch Medium Punch,HL,100~30,100~50,20|20~20,Su,3,2~12,25+18,-34,-,
Dragon Punch Hard Punch,HL,90~60,150~50,20|20~20,Su,3,2~12,28+18,-37,-,
Dragon Punch Ex,HL,80 ~ 60 ~ 50,100 ~ 50 ~ 50,(-) 250|0,Su,3,2~2~12,30+18,-29,-,
Hurricane Kick Light kick,HL,70,50,30|30,-,11,2 (6) 2,12+8,-9,-,
Hurricane Kick Medium Kick,HL,80~40,100~50,30|20~10,Su - -,5,2 (5) [2 (5) 2] (5) 1,16+12,-8,-,
Hurricane Kick Hard Kick,HL,80 ~ 40 ~ 40,200,30|30,Su - -,5,2 (5) [1 (5) 1] (5) [1 (5) 1] (5) 1,13+8,-1,-,
Hurricane Kick Ex,HL,30x4~40,40x5,(-) 250|0,-,11,1 (3) 1 (3) 1 (3) 1 (3) 1,18+3,-1,-,
Hurricane Kick Light Kick (Air),H,60,50,10|30,-,9,2 (6) 2 (6) 2,10,-,-,
Hurricane Kick Medium Kick (Air),H,70,50,10|30,-,9,2 (6) 2 (6) 2,10,-,-,
Hurricane Kick Hard Kick (Air),H,80,50,10|30,-,9,2 (6) 2 (6) 2,10,-,-,
Hurricane Kick Ex (Air),H,40x5,50x5,(-) 250|0,-,7,[1 (3)] x 4~1,4,-,-,
Axe Kick Light Kick,HL,100,200,30|40,Su,17,2,22,-7,0,
Axe Kick Medium Kick,HL,80,100,30|40,Su,20,2,20,-2,(+) 4,
Axe Kick Hard Kick,HL,140,200,30|40,Su,27,2,18,(+)1,D,
Axe Kick Ex,H,160,200,(-) 250|0,Su,22,2,22,-4,D,
Teleport P,-,-,-,-,-,-,-,61,-,-,
Teleport K,-,-,-,-,-,-,-,53,-,-,
Raging Demon,-,350,0,(-) 1000|0,-,1+0,37,13,-,-,
Ultra 1,HL,38x7 ~ 75 (53x7 ~ 60),0,0|0,-,0+11,-,125,-30,-,
Ultra 2,HL,30~15x3 ~75~35x4 [501],0,0|0,-,0+7,4~6 (26) 4~4~4 (37) 2~2~ 3~3~3,31+62,-78,-,
