Move,Block,Damage,Stun,Meter Gain,Cancel Ability,Startup,Active,Recover,Frame Adv. Block,Frame Adv. Hit,Notes
Close Light Punch,HL,30,50,20,C*Sp*Su,3,2,7,+2,+6,
Close Medium Punch,HL,70,100,40,Sp*Su,5,2,16,+3,+7,
Close Hard Punch,HL,100[80],200[150],60,Sp*Su,4,5,25,-12,-7,Forces stand
Close Light Kick,HL,30,50,20,-,4,2,9,0,+3,
Close Medium Kick,HL,75,100,40,Sp*Su,4,2,18,-6,-3,
Close Hard Kick,HL,120,200,60,Su,6,3,24,-9,-5,
Far Light Punch,HL,30,50,20,C*Sp*Su,3,2,7,+2,+6,
Far Medium Punch,HL,80,100,40,Su,5,2,16,-4,-1,
Far Hard Punch,HL,120,200,60,-,7,3,18,-3,+1,
Far Light Kick,HL,40,50,20,-,4,2,11,-2,+1,
Far Medium Kick,HL,70,100,40,-,7,2,18,-6,-3,
Far Hard Kick,HL,110,200,60,-,9,4,20,-6,-2,
Crouch Light Punch,HL,20,50,20,C*Sp*Su,3,2,9,0,+3,
Crouch Medium Punch,HL,65,100,40,Su,4,3,9,+2,+5,
Crouch Hard Punch,HL,100,200,60,-,8,3,20,-5,0,Forces stand
Crouch Light Kick,L,20,50,20,C*Su,3,3,8,0,+3,Low attack
Crouch Medium Kick,L,80,100,40,Su,5,4,13,-3,0,Low attack
Crouch Hard Kick,L,100,150,60,-,6,2,25,-9,KD,"Low attack, cannot fast recover"
Jump Up Light Punch,H,50,50,20,-,4,4,-,-,-,
Jump Up Medium Punch,H,80,100,40,-,5,3,-,-,-,
Jump Up Hard Punch,H,100,200,60,-,6,4,-,-,-,
Jump Up Light Kick,H,50,50,20,-,4,5,-,-,-,
Jump Up Medium Kick,H,80,100,40,-,6,6,-,-,-,
Jump Up Hard Kick,H,100,200,60,-,6,5,-,-,-,
Jump Toward Light Punch,H,50,50,20,-,4,5,-,-,-,
Jump Toward Medium Punch,H,80,100,40,-,5,5,-,-,-,
Jump Toward Hard Punch,H,100,200,60,-,6,6,-,-,-,
Jump Toward Light Kick,H,40,50,20,-,4,8,-,-,-,
Jump Toward Medium Kick,H,70,100,40,-,5,4,-,-,-,
Jump Toward Hard Kick,H,100,200,60,-,6,7,-,-,-,
Move,Block,Damage,Stun,Meter Gain,Cancel Ability,Startup,Active,Recover,Frame Adv. Block,Frame Adv. Hit,Notes
Overhead,H,60,100,40,-,18,2,2+14,-4,+1,"6th frame onward airborne, high attack"
Forward + Hard Kick,HL,90*60,150*50,60*20,-,15,2(7)2,15,-1,+3,
Focus Attack Level 1,HL,60,100,20,-,21,2,35,-21,-21,
Focus Attack Level 2,HL,80,150,40,-,17+12,2,35,-15,D,
